Algorithm,Phase 2-A (GA)_Accuracy
SVM RBF,86.84203178694159
Logistic Regression,83.78454324169529
SVM Linear,83.49183848797249
KNN (k=3),78.62099083619702
KNN (k=5),76.80798969072163
KNN (k=7),76.72888029782358
Random Forest,76.22590922107675
Multinomial NB,75.95446735395188
AdaBoost,64.65048682703323
Naive Bayes,64.20321449026348
Decision Tree,57.89250429553264
