Algorithm,Phase 3-D (ABC)_Accuracy
SVM RBF,85.31099656357388
Logistic Regression,83.03028350515463
KNN (k=3),82.50808991981673
KNN (k=5),82.23582474226804
KNN (k=7),81.44838201603665
SVM Linear,81.36912943871705
Random Forest,77.62940292096218
Multinomial NB,75.83387027491408
AdaBoost,69.78565292096219
Naive Bayes,65.02605956471936
Decision Tree,61.66680985108819
