Phase,Algorithm,Accuracy,Macro_F1
Phase 2B (PSO),SVM RBF,73.9087788131437,73.21423515227288
Phase 2B (PSO),SVM Linear,72.60094817721105,71.83772831508057
Phase 2B (PSO),Logistic Regression,73.30390714402485,72.51866808489905
Phase 2B (PSO),KNN (k=3),74.51365048226255,72.77938506902186
Phase 2B (PSO),KNN (k=5),75.49452345921203,73.56153007788802
Phase 2B (PSO),KNN (k=7),75.5435671080595,73.47822155447045
Phase 2B (PSO),Random Forest,77.24374693477195,75.13598192451917
Phase 2B (PSO),AdaBoost,68.563021088769,67.24734024002987
Phase 2B (PSO),Decision Tree,61.54977930358019,61.29426741722239
Phase 2B (PSO),Multinomial NB,71.6037273173124,69.13494807477252
Phase 2B (PSO),Naive Bayes,69.46215465097269,60.5690724734584
Phase 2C (ACO),SVM RBF,72.12685957168546,71.78635671786357
Phase 2C (ACO),SVM Linear,71.44024848782082,70.99486267790802
Phase 2C (ACO),Logistic Regression,70.54111492561714,70.32418016721876
Phase 2C (ACO),KNN (k=3),73.50008173941475,72.6343432932848
Phase 2C (ACO),KNN (k=5),74.51365048226255,73.69047863731488
Phase 2C (ACO),KNN (k=7),74.48095471636424,73.656726845958
Phase 2C (ACO),Random Forest,77.12931175412784,75.74369735811075
Phase 2C (ACO),AdaBoost,60.68334150727481,60.67444594214395
Phase 2C (ACO),Decision Tree,60.11116560405427,60.08684395578348
Phase 2C (ACO),Multinomial NB,72.43746934771947,71.53187995122367
Phase 2C (ACO),Naive Bayes,71.19503024358346,67.35068893969348
Phase 2D (ABC),SVM RBF,69.69102501226091,69.51179921526389
Phase 2D (ABC),SVM Linear,68.93902239659964,68.77226752302926
Phase 2D (ABC),Logistic Regression,66.65031878371751,66.58949308329349
Phase 2D (ABC),KNN (k=3),67.2388425698872,67.03501351356876
Phase 2D (ABC),KNN (k=5),66.9282327938532,66.79324993360497
Phase 2D (ABC),KNN (k=7),67.22249468693803,67.09551174837294
Phase 2D (ABC),Random Forest,72.29033840117705,71.6025152154595
Phase 2D (ABC),AdaBoost,59.98038254046101,59.96257644972943
Phase 2D (ABC),Decision Tree,57.36472126859572,57.308997055515334
Phase 2D (ABC),Multinomial NB,69.16789275788786,68.43352705542422
Phase 2D (ABC),Naive Bayes,68.92267451365048,62.69079494472625
Phase 2E (GWO),SVM RBF,71.89798921039726,71.57103131981356
Phase 2E (GWO),SVM Linear,70.99885564819355,70.59026857067654
Phase 2E (GWO),Logistic Regression,68.67745626941311,68.53541035236388
Phase 2E (GWO),KNN (k=3),71.71816249795651,70.86123281011511
Phase 2E (GWO),KNN (k=5),72.35572993297367,71.58410647876296
Phase 2E (GWO),KNN (k=7),72.48651299656694,71.69325795765215
Phase 2E (GWO),Random Forest,73.35295079287232,72.65538697139799
Phase 2E (GWO),AdaBoost,63.42978584273337,63.385806956379575
Phase 2E (GWO),Decision Tree,54.81445152852705,54.72948846004644
Phase 2E (GWO),Multinomial NB,70.83537681870197,69.77641578850928
Phase 2E (GWO),Naive Bayes,69.38041523622691,66.07260751678086
Phase 2F (WOA),SVM RBF,72.92790583619421,72.33837899478539
Phase 2F (WOA),SVM Linear,72.01242439104136,71.32515974423399
Phase 2F (WOA),Logistic Regression,71.19503024358346,70.67705170646347
Phase 2F (WOA),KNN (k=3),71.83259767860062,70.3904058495096
Phase 2F (WOA),KNN (k=5),73.23851561222821,71.74580137786187
Phase 2F (WOA),KNN (k=7),73.28755926107569,71.70418991345231
Phase 2F (WOA),Random Forest,76.16478666012752,74.10034975879304
Phase 2F (WOA),AdaBoost,65.81657675331046,64.54598636655628
Phase 2F (WOA),Decision Tree,60.55255844368155,60.35112718676171
Phase 2F (WOA),Multinomial NB,71.53833578551577,69.51473200268174
Phase 2F (WOA),Naive Bayes,69.67467712931176,62.26910263354334
