Algorithm,Phase 2-C (ACO)_Accuracy
SVM RBF,86.53901775486825
Logistic Regression,84.56769043528062
SVM Linear,82.67955326460483
KNN (k=3),81.80985108820158
KNN (k=5),81.23152920962201
KNN (k=7),80.80813287514317
Multinomial NB,79.36912943871707
Random Forest,78.733676975945
AdaBoost,70.46746134020619
Naive Bayes,65.59231815578465
Decision Tree,62.923396334478795
