Algorithm,Phase 3-B (PSO)_Accuracy
SVM RBF,84.1144401489118
Logistic Regression,82.16358820160367
SVM Linear,79.87861540664376
KNN (k=3),77.55394473081328
KNN (k=5),76.8798324742268
KNN (k=7),75.54109392898053
Multinomial NB,74.98120704467354
Random Forest,74.89790950744559
AdaBoost,66.28225229095074
Naive Bayes,60.133519473081314
Decision Tree,58.19347794959908
