Algorithm,Phase 2-F (WOA)_Accuracy
SVM RBF,85.49681414662085
Logistic Regression,82.78608247422679
SVM Linear,81.59611254295532
KNN (k=3),78.86547823596791
KNN (k=5),77.96377434135165
KNN (k=7),77.54760882016036
Random Forest,76.08759306987399
Multinomial NB,75.84092210767469
AdaBoost,66.57592353951891
Naive Bayes,61.69548253150058
Decision Tree,59.971434707903775
